A_0	A_1	A_2	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	Class	Group	InstanceID
1	0	1	0	1	1	0	1	0	1	1	0	5	197
1	0	0	1	0	1	1	0	0	0	1	0	4	198
1	0	1	0	0	1	1	0	0	1	0	0	5	199
1	1	0	0	1	1	1	1	1	0	1	0	6	200
1	0	1	0	1	1	1	0	0	1	1	0	5	201
1	0	0	1	0	1	0	0	1	0	1	0	4	202
1	0	0	1	1	0	0	1	1	1	1	1	4	203
0	1	0	1	0	0	0	1	1	0	0	0	2	204
0	0	1	1	0	1	0	0	1	0	1	0	1	205
0	1	1	0	0	1	1	0	0	0	0	1	3	206
1	1	0	0	0	0	0	1	1	1	1	1	6	207
1	0	1	0	0	0	0	0	0	1	1	0	5	208
0	0	0	0	1	0	1	0	0	0	1	0	0	209
1	0	0	1	1	0	1	0	1	0	0	0	4	210
0	1	0	1	0	0	0	0	1	0	1	0	2	211
1	0	1	0	0	1	0	0	0	0	1	0	5	213
0	0	0	0	1	1	1	1	0	1	0	0	0	214
1	1	0	1	0	1	0	0	0	1	1	1	6	215
1	1	0	1	1	1	0	1	1	0	1	0	6	216
1	1	0	0	0	1	1	0	1	1	0	1	6	217
1	0	1	0	0	0	0	1	0	1	0	0	5	218
0	0	1	0	0	0	1	0	0	0	1	0	1	219
1	0	0	0	0	1	1	1	1	0	0	1	4	222
1	0	1	0	0	0	0	0	0	1	0	0	5	223
1	1	0	0	1	0	0	1	1	0	0	0	6	224
0	1	0	1	0	1	1	0	1	1	1	1	2	225
0	1	1	1	0	0	1	0	0	1	1	1	3	226
1	0	1	0	0	0	1	0	0	1	0	0	5	228
1	0	1	1	1	1	1	0	1	0	1	1	5	229
1	0	0	0	1	1	0	0	0	0	1	0	4	231
0	1	1	0	0	0	0	0	1	1	1	0	3	232
1	0	1	1	0	1	1	1	0	0	1	0	5	233
0	0	0	0	1	0	1	0	0	0	1	0	0	234
1	1	1	1	0	1	1	1	0	1	1	1	7	235
0	1	1	0	0	0	0	0	0	0	1	0	3	237
1	0	1	0	0	1	0	0	1	0	1	1	5	238
1	1	0	1	1	1	0	1	0	0	0	0	6	239
0	1	1	0	0	1	0	0	1	1	0	0	3	240
1	1	1	1	1	0	0	1	1	0	0	0	7	241
0	0	1	0	1	1	0	0	0	1	1	1	1	242
0	1	0	0	0	0	0	0	1	1	1	0	2	243
0	0	1	1	0	1	1	0	0	0	1	0	1	244
0	0	0	1	1	0	0	1	1	1	0	1	0	245
1	1	0	0	0	0	1	0	0	1	1	1	6	246
1	0	1	1	0	0	1	0	1	1	1	1	5	247
0	0	0	1	0	1	1	0	1	0	1	1	0	248
0	1	1	1	0	1	0	0	1	0	1	0	3	249
0	0	1	0	0	0	0	0	1	1	1	0	1	250
1	0	1	1	0	0	1	1	1	0	0	1	5	251
1	1	0	0	0	0	0	1	1	0	1	0	6	252
0	1	0	0	0	0	1	0	1	1	0	0	2	253
0	0	1	0	0	0	0	0	0	0	0	0	1	254
1	1	0	0	0	1	0	1	0	1	0	1	6	255
0	1	0	0	0	1	0	1	1	0	1	1	2	256
0	0	1	0	1	1	1	0	1	1	1	1	1	257
0	1	0	0	1	0	1	0	0	1	1	0	2	258
1	0	1	1	1	0	0	0	1	0	1	1	5	259
0	1	0	1	0	0	0	1	1	0	1	0	2	260
1	1	1	1	1	0	1	1	0	1	0	0	7	261
1	1	0	0	0	1	0	1	0	0	1	0	6	262
1	1	0	1	1	0	1	1	1	1	0	1	6	263
0	1	0	1	1	1	0	1	0	0	0	1	2	264
1	1	1	1	0	1	0	0	0	0	0	0	7	265
0	0	1	0	1	0	1	1	1	0	1	1	1	266
1	1	1	1	0	0	0	1	1	0	1	1	7	268
1	1	1	1	0	1	1	0	1	0	0	0	7	269
1	1	0	1	0	0	1	1	0	0	1	0	6	270
1	0	1	0	1	0	0	0	0	1	0	0	5	271
1	0	1	1	0	1	1	1	0	1	0	0	5	272
0	1	0	1	0	1	0	1	0	0	0	1	2	273
1	0	1	1	0	1	0	0	1	1	1	1	5	274
0	0	0	1	0	0	0	0	1	0	1	1	0	275
1	1	1	1	1	0	0	1	0	0	0	0	7	276
0	1	1	0	1	0	0	0	0	0	0	0	3	277
1	1	1	0	0	0	1	1	1	1	1	1	7	278
0	0	0	1	0	0	0	1	1	0	1	1	0	279
0	0	1	0	1	1	1	0	0	0	0	1	1	280
0	1	1	1	0	1	1	1	1	1	1	1	3	281
0	0	1	0	0	1	0	0	1	1	0	0	1	282
1	1	0	0	0	1	0	0	0	0	0	0	6	283
1	1	0	1	0	1	1	1	0	1	1	1	6	284
1	0	1	0	0	1	1	1	0	1	1	0	5	286
1	0	1	1	1	1	1	1	1	0	1	1	5	288
1	0	0	0	1	0	0	1	0	1	1	1	4	290
0	0	1	1	0	0	1	1	0	1	0	0	1	291
1	0	0	0	1	0	1	1	1	0	1	1	4	292
1	0	0	0	1	1	1	0	0	1	0	0	4	293
1	0	0	1	0	1	1	1	0	1	0	1	4	294
1	0	0	1	0	0	0	1	0	0	0	1	4	295
1	0	1	0	0	0	1	0	1	0	1	1	5	296
1	1	1	1	1	0	1	0	1	1	0	0	7	297
0	1	1	1	0	0	1	1	1	1	1	1	3	298
1	1	1	1	0	0	0	1	1	1	0	0	7	299
1	1	0	1	0	1	0	0	0	1	0	1	6	300
0	0	1	1	0	0	1	0	0	1	0	0	1	302
1	1	0	1	1	0	0	0	1	0	0	0	6	303
1	0	1	1	1	0	0	0	1	0	0	1	5	304
1	0	1	0	1	0	1	0	0	1	0	0	5	305
0	0	1	0	0	0	1	0	1	1	0	0	1	306
0	1	0	1	1	1	0	0	1	0	0	1	2	307
1	1	0	0	0	0	1	0	0	0	0	0	6	308
0	1	1	0	1	0	0	1	1	1	1	0	3	309
1	1	1	1	0	0	1	0	0	0	1	1	7	310
1	0	1	0	1	0	0	0	0	0	0	0	5	311
1	0	1	1	0	1	1	1	1	0	0	1	5	312
1	0	1	0	1	0	0	0	1	0	1	1	5	313
1	0	0	1	0	1	0	0	1	0	0	0	4	314
0	1	0	0	1	0	1	1	0	0	0	0	2	315
0	0	1	0	0	1	1	1	1	0	0	0	1	316
1	0	0	0	0	0	0	0	1	0	1	0	4	317
0	1	0	1	1	0	1	0	1	1	0	0	2	318
0	0	0	1	1	1	1	1	0	1	1	1	0	319
1	1	0	0	0	0	0	0	0	0	1	0	6	320
1	0	0	0	0	1	1	0	1	0	0	0	4	321
0	1	1	0	1	0	0	1	0	1	0	0	3	322
1	0	0	0	1	0	0	1	1	1	0	1	4	323
1	0	1	1	1	1	0	1	1	0	0	1	5	324
1	1	0	1	1	0	0	0	1	1	0	1	6	325
0	0	0	0	1	0	0	1	0	1	1	0	0	326
1	1	0	0	1	1	0	0	0	0	0	0	6	327
0	1	1	0	1	0	0	1	0	1	1	0	3	328
0	0	0	0	0	0	1	0	1	0	1	0	0	329
1	0	1	1	1	0	0	0	1	1	1	1	5	331
0	1	1	1	1	1	0	1	1	0	1	0	3	332
1	0	1	0	1	1	1	0	0	1	0	0	5	333
1	0	1	1	1	0	0	0	0	1	0	0	5	335
1	1	0	0	1	0	0	1	0	1	0	1	6	336
0	1	0	1	1	0	1	0	0	1	0	0	2	337
1	0	1	0	1	1	0	1	1	1	0	1	5	338
0	1	1	0	1	1	0	0	1	0	0	0	3	339
1	1	1	0	0	1	1	0	0	1	0	0	7	340
1	1	0	1	0	0	0	1	0	0	0	0	6	341
0	0	0	1	1	1	1	0	0	1	1	1	0	342
0	0	0	0	0	0	1	0	1	1	1	0	0	343
0	1	0	0	0	0	1	0	0	0	0	0	2	345
1	0	0	1	0	0	1	1	1	1	1	1	4	346
1	0	1	1	1	0	1	1	1	0	1	1	5	347
0	1	1	1	1	1	0	1	0	1	0	0	3	348
0	1	1	0	1	0	0	0	1	1	0	0	3	349
1	1	0	1	1	1	0	0	1	1	0	1	6	351
1	0	0	0	1	0	0	0	0	1	1	0	4	352
1	0	0	1	0	0	0	0	1	0	0	0	4	355
0	0	1	0	1	0	0	0	0	0	1	1	1	356
0	1	1	1	1	1	1	1	1	0	1	1	3	357
1	0	1	1	0	1	0	1	1	0	0	1	5	358
1	1	0	0	0	0	1	0	1	1	1	1	6	359
0	0	0	0	0	1	1	0	0	0	1	0	0	360
0	1	1	0	1	0	0	1	0	1	1	0	3	361
1	1	1	0	1	1	1	1	1	0	1	1	7	362
0	1	1	0	0	0	0	0	1	1	0	0	3	363
1	0	1	0	0	0	0	1	1	0	0	1	5	364
1	1	0	0	1	1	1	0	0	1	0	1	6	365
1	1	1	1	0	0	1	0	0	1	1	1	7	366
0	0	0	1	0	0	0	0	1	1	0	1	0	367
0	0	1	0	1	1	0	1	1	0	1	1	1	368
1	1	1	1	1	1	1	0	1	1	0	0	7	369
1	0	1	1	1	0	1	1	0	0	1	0	5	370
1	1	1	0	1	1	0	1	0	1	1	1	7	371
0	0	1	0	0	1	0	0	0	0	1	0	1	372
0	0	1	1	0	1	0	0	1	1	1	0	1	373
0	1	0	0	0	1	1	1	1	0	1	1	2	374
1	0	1	1	0	1	0	0	1	0	0	1	5	375
1	0	1	1	1	1	1	1	0	1	1	0	5	376
0	1	1	1	0	0	0	1	1	1	0	0	3	377
1	0	0	0	0	1	1	0	0	1	0	0	4	378
0	1	1	1	0	1	1	0	0	1	0	1	3	379
1	1	1	1	1	0	1	1	1	1	0	0	7	380
1	0	1	0	1	1	1	0	1	1	1	1	5	381
0	0	0	1	1	1	0	1	0	0	0	1	0	382
1	1	1	1	1	0	1	1	0	1	0	0	7	383
1	1	0	1	0	0	0	0	1	1	0	1	6	384
1	1	0	0	1	0	1	0	0	1	1	1	6	385
0	0	1	1	1	1	1	1	0	0	1	1	1	387
0	0	0	0	1	1	0	0	1	1	1	0	0	388
1	1	1	0	0	1	0	1	0	1	1	1	7	389
0	1	0	1	0	0	0	1	0	0	1	0	2	390
1	1	0	1	1	0	0	1	0	1	0	1	6	391
1	1	0	0	1	1	0	0	1	1	1	1	6	392
1	0	0	0	1	0	0	0	1	0	0	0	4	393
0	0	1	0	1	1	0	0	1	1	0	1	1	394
1	0	0	0	0	0	0	0	0	1	1	0	4	395
0	0	1	0	0	0	0	1	1	1	1	0	1	396
1	0	1	0	0	0	0	0	0	0	1	0	5	397
0	1	1	0	1	1	0	0	1	1	1	0	3	399
0	1	1	0	0	0	0	0	0	1	1	0	3	400
0	1	1	1	0	1	1	1	0	0	0	1	3	401
0	1	0	0	0	1	0	0	1	1	1	1	2	402
0	1	0	1	0	0	0	0	1	1	1	0	2	403
1	0	0	1	0	0	0	0	0	0	1	0	4	404
0	0	1	0	1	1	0	1	1	1	0	1	1	405
0	1	0	1	0	1	1	0	0	0	0	1	2	406
0	0	0	1	1	1	0	1	0	1	0	1	0	407
0	1	1	1	1	1	0	0	1	1	1	0	3	409
1	1	0	0	1	0	0	1	0	1	1	1	6	410
0	1	0	0	0	1	0	1	0	0	1	1	2	411
1	1	0	0	0	0	1	0	0	0	0	0	6	412
1	1	0	0	0	1	1	1	0	0	1	0	6	413
1	1	1	0	0	0	0	1	0	1	0	0	7	414
1	1	0	0	0	1	0	1	1	1	1	1	6	415
1	1	1	1	1	1	0	1	1	1	0	0	7	416
0	1	0	1	1	1	1	0	1	1	0	1	2	417
1	0	0	0	0	1	0	0	1	0	0	0	4	418
0	1	1	1	1	0	1	1	1	0	1	1	3	419
0	0	1	1	1	0	0	0	1	1	1	1	1	420
0	0	1	0	1	0	0	0	0	1	0	1	1	422
0	0	1	0	1	1	0	1	0	0	1	1	1	423
1	1	0	0	1	0	0	0	1	0	1	0	6	424
1	0	1	0	0	0	1	1	1	1	1	1	5	425
0	0	1	1	0	0	1	1	0	1	1	0	1	426
1	1	1	0	1	0	0	1	1	1	0	0	7	427
0	1	0	1	1	1	0	0	0	0	0	1	2	428
0	1	0	0	0	0	1	0	1	0	1	0	2	429
0	0	1	1	1	0	1	1	0	0	0	1	1	430
1	1	1	0	0	0	0	0	1	0	0	0	7	431
1	0	1	0	0	0	0	0	0	1	0	0	5	432
1	1	1	0	0	0	1	1	1	0	1	1	7	433
1	1	1	0	1	0	1	1	0	1	1	1	7	434
0	0	0	0	1	1	0	0	1	1	0	0	0	436
0	0	0	1	0	1	0	1	0	1	0	1	0	437
1	0	0	0	1	0	1	0	1	1	1	0	4	438
0	1	0	0	0	1	0	1	0	1	0	1	2	439
1	0	1	1	1	1	1	0	1	0	0	1	5	440
1	1	0	0	0	1	0	0	1	0	1	0	6	441
1	0	1	1	1	1	1	0	0	0	1	0	5	442
0	0	1	0	0	1	0	0	1	0	0	0	1	443
0	1	1	0	0	0	0	0	0	0	1	0	3	444
1	0	1	1	0	1	1	1	1	0	0	1	5	445
0	0	0	1	1	1	1	0	1	0	0	1	0	446
1	0	0	0	1	0	1	1	1	0	1	1	4	447
0	0	0	0	0	0	0	0	1	1	1	0	0	449
0	0	0	0	1	1	0	0	0	1	1	0	0	450
0	0	1	0	1	1	1	1	1	0	1	1	1	451
0	1	0	0	0	1	0	0	0	1	0	1	2	453
1	0	0	1	1	1	1	1	0	1	1	1	4	454
1	0	0	0	1	0	1	0	0	0	0	0	4	455
0	0	0	1	0	0	0	1	0	0	1	1	0	456
1	1	0	1	0	0	1	1	0	0	1	0	6	457
1	1	0	1	0	1	0	0	1	1	1	1	6	458
0	0	1	1	0	0	0	0	0	1	0	0	1	459
1	0	0	1	1	1	1	0	1	1	1	0	4	460
0	1	0	1	1	0	0	0	1	1	0	0	2	461
1	1	0	0	0	1	0	1	0	0	0	0	6	462
0	0	0	0	0	0	0	0	1	1	0	0	0	463
1	1	1	1	1	0	1	0	1	1	0	0	7	464
1	1	1	0	0	1	0	0	0	0	0	0	7	466
1	1	1	0	1	0	0	0	0	0	1	1	7	467
1	1	0	0	1	1	0	1	1	0	0	0	6	468
0	0	0	0	0	0	1	0	0	1	0	0	0	469
1	1	0	0	1	0	0	1	0	0	0	0	6	470
1	0	1	1	1	0	0	1	1	0	1	1	5	471
1	0	1	1	0	1	0	1	1	1	0	1	5	472
0	1	0	1	0	1	1	1	1	0	1	1	2	473
1	0	0	1	1	1	0	0	1	0	1	0	4	474
0	1	0	1	0	0	0	0	1	0	0	0	2	475
0	0	0	0	1	0	0	0	1	0	1	0	0	476
1	1	1	0	1	1	1	1	1	1	0	0	7	477
0	1	0	1	0	0	0	0	0	1	0	0	2	478
1	0	1	1	1	0	1	0	1	1	1	1	5	479
0	0	1	0	0	0	0	0	1	0	0	0	1	480
1	1	0	0	0	1	0	0	0	1	1	1	6	482
1	1	1	0	1	1	1	1	1	0	1	1	7	483
0	1	0	0	1	1	0	1	1	1	1	1	2	484
0	0	1	1	1	1	0	0	0	1	0	1	1	486
1	0	1	1	0	0	1	1	0	0	1	0	5	487
1	1	1	0	0	0	1	1	1	1	0	0	7	488
0	0	1	1	0	0	1	0	0	0	0	0	1	489
0	1	0	0	1	1	0	0	1	0	1	1	2	490
1	0	1	0	1	1	0	0	1	0	1	1	5	491
1	0	1	0	1	1	1	0	1	0	0	1	5	492
0	0	1	1	0	0	0	0	1	0	1	0	1	493
0	1	1	1	0	1	0	1	1	1	0	0	3	494
0	1	0	0	0	0	1	0	0	0	0	0	2	495
0	1	0	1	0	1	0	1	1	1	0	1	2	496
0	0	0	1	0	0	0	0	1	0	1	1	0	497
1	1	0	1	0	0	1	1	0	1	1	1	6	498
0	1	0	1	0	0	0	0	0	0	1	0	2	499
1	0	1	0	1	1	0	1	0	1	1	0	5	500
0	0	0	1	1	0	0	0	1	1	1	1	0	501
0	0	1	0	1	0	0	0	1	0	1	1	1	502
1	1	0	1	1	0	0	1	0	0	1	0	6	503
0	1	1	1	1	1	0	1	1	0	0	0	3	504
1	0	0	1	0	0	1	0	1	0	1	0	4	505
1	1	1	1	0	1	1	1	1	0	1	1	7	506
1	0	1	0	0	1	0	0	0	0	1	0	5	507
1	1	1	0	1	1	0	0	1	1	1	1	7	509
1	0	0	1	0	0	0	1	0	0	1	1	4	510
0	1	0	0	0	0	1	0	1	0	0	0	2	511
1	0	1	0	0	0	0	1	1	0	1	1	5	512
1	0	1	1	1	1	0	0	1	1	1	1	5	513
1	1	1	0	0	0	1	1	1	0	1	1	7	514
0	0	1	1	1	0	0	1	0	1	1	1	1	515
1	1	0	1	0	0	1	0	1	1	1	1	6	516
1	0	0	0	0	1	1	1	1	0	0	1	4	517
0	0	0	1	0	0	0	1	1	0	1	1	0	518
1	1	1	0	1	0	0	0	1	0	0	0	7	519
1	1	0	0	0	1	1	1	0	1	1	1	6	520
0	1	0	1	0	1	1	1	0	0	1	1	2	521
1	1	1	0	1	1	0	0	1	1	1	1	7	523
0	0	1	1	0	0	0	1	1	1	0	0	1	526
0	0	1	1	1	1	0	1	0	1	0	1	1	527
0	1	0	1	0	1	0	0	1	1	1	1	2	528
0	1	0	1	0	1	0	0	1	1	0	1	2	529
1	1	0	1	1	1	1	0	0	0	0	0	6	530
0	1	0	0	0	0	1	0	0	0	1	0	2	531
1	0	0	1	0	0	1	0	0	1	1	0	4	532
1	0	1	1	1	1	1	0	1	1	1	1	5	533
1	0	1	1	1	0	0	1	1	1	0	1	5	534
1	1	1	1	1	0	1	0	1	1	0	0	7	535
0	0	1	0	0	1	1	1	1	1	0	0	1	536
1	0	0	1	0	1	1	0	1	1	0	0	4	537
0	1	1	1	1	1	1	1	1	0	1	1	3	538
0	0	1	1	1	1	0	1	0	0	0	1	1	540
0	1	0	1	0	0	0	1	1	1	1	0	2	542
0	1	0	1	1	0	0	1	1	0	1	0	2	543
0	1	1	1	1	0	0	0	0	0	1	0	3	544
0	0	0	1	1	1	0	1	1	0	1	1	0	545
