A_0	A_1	R_0	R_1	R_2	R_3	Class	Group	InstanceID
1	0	1	1	0	0	0	2	209
1	1	1	1	1	0	0	3	210
1	1	1	1	0	0	0	3	211
0	1	0	1	1	1	1	1	212
0	0	0	0	1	0	0	0	213
0	0	1	0	1	0	1	0	214
0	1	0	1	1	0	1	1	215
0	1	0	0	0	1	0	1	216
0	1	1	0	0	1	0	1	217
0	0	0	1	1	1	0	0	218
1	0	1	1	1	0	1	2	219
0	0	0	0	1	0	0	0	220
0	0	1	1	1	0	1	0	221
0	1	1	0	1	1	0	1	222
0	0	0	0	1	1	0	0	223
0	0	0	0	0	0	0	0	224
0	0	0	1	0	1	0	0	225
1	0	1	1	1	1	1	2	226
0	1	0	0	0	1	0	1	227
1	0	0	0	1	0	1	2	229
0	0	1	0	1	0	1	0	230
1	0	1	0	1	0	1	2	231
1	0	0	0	1	0	1	2	232
0	1	1	1	0	1	1	1	233
0	1	1	0	0	1	0	1	234
1	1	0	1	1	0	0	3	235
0	1	1	0	0	1	0	1	236
1	0	1	0	1	1	1	2	237
1	1	1	1	0	0	0	3	238
1	1	0	0	1	0	0	3	239
1	0	1	1	0	1	0	2	240
1	1	1	1	0	0	0	3	243
1	1	1	0	0	0	0	3	244
0	0	0	1	1	1	0	0	245
1	1	0	0	1	1	1	3	246
1	0	0	0	0	0	0	2	247
1	0	1	0	1	0	1	2	248
0	1	0	0	0	0	0	1	249
0	0	0	1	1	0	0	0	250
0	0	0	1	0	1	0	0	251
0	0	0	1	0	1	0	0	252
0	0	0	0	1	0	0	0	253
1	0	1	1	1	1	1	2	254
1	1	0	0	1	0	0	3	255
0	1	0	0	1	0	0	1	256
0	0	0	1	0	0	0	0	258
0	1	0	1	1	1	1	1	260
0	0	1	0	0	1	1	0	262
1	1	0	1	1	1	1	3	263
1	0	1	1	0	1	0	2	264
1	0	0	1	0	0	0	2	265
1	1	0	1	1	0	0	3	266
0	0	0	1	0	1	0	0	267
1	0	0	1	1	1	1	2	268
1	1	1	1	0	0	0	3	269
0	0	0	1	0	1	0	0	270
0	0	0	0	1	1	0	0	271
0	0	0	0	1	1	0	0	273
0	0	0	0	0	0	0	0	274
1	0	0	1	1	1	1	2	275
1	0	1	1	0	0	0	2	276
0	1	0	1	1	0	1	1	277
0	0	0	1	1	1	0	0	278
1	0	0	0	0	1	0	2	279
1	0	1	1	0	1	0	2	280
0	0	1	1	1	1	1	0	281
0	1	1	1	1	0	1	1	282
0	1	0	0	1	1	0	1	283
0	0	0	0	0	1	0	0	284
0	1	0	1	0	1	1	1	286
1	0	0	1	1	1	1	2	287
1	1	1	0	1	1	1	3	289
0	1	1	1	1	0	1	1	290
0	1	0	1	0	1	1	1	291
1	1	1	1	1	0	0	3	292
1	1	1	0	1	1	1	3	293
0	0	1	0	0	0	1	0	294
0	1	1	0	0	0	0	1	295
1	1	0	1	0	1	1	3	296
0	1	0	1	0	0	1	1	297
1	0	0	1	1	0	1	2	298
1	1	1	1	1	1	1	3	299
0	1	1	0	0	0	0	1	300
0	0	0	1	0	0	0	0	301
1	1	0	1	0	1	1	3	302
0	0	1	1	0	1	1	0	304
0	1	1	1	1	0	1	1	306
0	1	1	1	1	0	1	1	307
1	0	1	1	0	0	0	2	309
0	1	1	1	1	0	1	1	310
1	0	0	1	0	1	0	2	312
0	1	1	1	0	1	1	1	313
0	0	0	0	1	1	0	0	314
1	0	0	0	1	1	1	2	315
1	0	0	1	1	0	1	2	316
0	1	0	1	0	1	1	1	317
0	0	1	1	1	0	1	0	318
0	1	0	1	1	0	1	1	319
1	0	1	1	1	0	1	2	320
1	1	0	0	1	1	1	3	321
1	1	0	0	0	0	0	3	322
0	1	0	0	0	0	0	1	323
1	0	1	0	1	0	1	2	324
0	0	0	0	0	1	0	0	325
1	0	1	0	0	0	0	2	326
1	1	1	0	0	1	1	3	327
1	1	0	1	1	0	0	3	329
1	1	1	0	1	1	1	3	330
1	1	0	1	1	1	1	3	331
0	0	1	0	0	1	1	0	332
1	0	0	1	1	0	1	2	333
0	1	1	1	1	1	1	1	334
1	0	0	0	0	0	0	2	335
0	0	0	0	0	0	0	0	336
1	1	0	0	0	0	0	3	337
1	0	0	0	0	1	0	2	338
1	0	0	1	1	1	1	2	339
1	1	1	1	0	1	1	3	340
1	0	1	0	1	0	1	2	341
0	0	0	1	0	0	0	0	342
1	1	1	0	0	1	1	3	343
1	1	0	0	0	0	0	3	344
0	1	1	0	0	0	0	1	345
0	0	1	0	1	0	1	0	346
1	0	0	1	1	1	1	2	347
0	1	1	0	1	1	0	1	349
1	1	0	1	1	0	0	3	350
0	0	0	0	0	1	0	0	351
0	1	0	0	0	0	0	1	352
0	1	1	0	1	1	0	1	353
0	0	1	0	0	0	1	0	354
0	0	0	0	0	1	0	0	355
1	1	0	1	1	1	1	3	356
1	1	1	1	1	1	1	3	357
0	1	1	0	0	0	0	1	358
1	1	1	0	0	1	1	3	359
0	0	0	1	0	0	0	0	360
0	0	1	0	0	1	1	0	361
1	0	1	0	0	0	0	2	363
0	1	0	0	1	0	0	1	364
0	0	0	1	1	0	0	0	365
0	0	1	0	1	0	1	0	366
0	1	1	1	0	0	1	1	367
1	0	1	0	0	0	0	2	368
0	0	1	1	0	1	1	0	369
0	1	0	0	1	1	0	1	370
0	1	0	1	1	1	1	1	371
1	1	1	1	0	0	0	3	372
0	0	0	1	0	0	0	0	373
1	1	0	0	0	1	1	3	374
0	0	0	1	1	0	0	0	376
0	0	0	1	1	0	0	0	377
0	0	1	1	1	0	1	0	378
0	1	0	0	1	1	0	1	379
1	0	0	1	0	1	0	2	380
1	0	0	0	0	0	0	2	381
1	0	1	1	1	1	1	2	382
1	1	1	0	0	1	1	3	383
0	1	1	0	0	0	0	1	384
0	1	1	1	0	1	1	1	385
1	0	0	0	1	0	1	2	386
0	1	0	1	0	1	1	1	387
1	1	0	1	0	0	0	3	389
0	0	1	0	1	1	1	0	390
0	1	0	1	1	0	1	1	391
0	0	1	0	1	1	1	0	392
0	0	0	1	0	1	0	0	393
0	0	1	0	1	0	1	0	395
1	1	0	0	0	0	0	3	396
0	0	0	0	1	1	0	0	397
1	0	0	0	0	0	0	2	398
0	1	1	0	1	0	0	1	399
1	0	1	0	0	0	0	2	400
0	1	0	1	0	1	1	1	402
0	0	0	1	1	1	0	0	403
0	0	1	0	1	1	1	0	404
1	0	0	0	1	0	1	2	405
1	0	1	1	0	1	0	2	406
0	0	0	0	1	1	0	0	407
1	1	0	1	0	0	0	3	408
1	1	1	1	1	0	0	3	409
0	1	0	1	1	1	1	1	410
1	1	1	1	1	0	0	3	412
1	1	1	1	1	1	1	3	414
0	0	0	0	1	1	0	0	415
0	0	0	1	0	0	0	0	416
0	0	1	1	1	1	1	0	417
0	0	1	1	1	0	1	0	419
1	0	0	0	0	0	0	2	420
1	1	0	0	0	1	1	3	421
0	0	1	0	0	0	1	0	422
1	0	0	0	0	0	0	2	423
0	0	1	0	0	0	1	0	424
0	0	1	0	1	0	1	0	425
1	0	1	0	1	1	1	2	426
1	0	1	0	1	0	1	2	427
1	0	0	1	0	0	0	2	429
1	1	0	0	0	0	0	3	430
0	1	1	0	0	1	0	1	431
1	1	1	0	1	1	1	3	433
0	1	0	1	1	1	1	1	434
0	1	0	0	1	1	0	1	435
0	0	1	1	1	1	1	0	436
0	0	1	1	0	1	1	0	437
1	1	1	0	1	0	0	3	438
1	0	1	0	0	0	0	2	439
1	1	0	1	1	1	1	3	440
0	1	1	1	0	0	1	1	441
1	0	0	1	0	0	0	2	442
1	1	1	0	1	0	0	3	443
1	0	0	0	0	1	0	2	444
1	0	0	0	1	0	1	2	445
1	1	1	1	0	1	1	3	446
0	1	1	0	0	0	0	1	447
1	1	1	1	0	1	1	3	448
0	0	0	0	0	0	0	0	449
1	1	0	1	1	1	1	3	450
1	0	0	1	1	1	1	2	451
0	1	0	0	0	1	0	1	452
0	1	0	1	0	0	1	1	453
1	1	0	1	1	0	0	3	454
1	0	1	0	0	0	0	2	455
0	0	1	1	0	1	1	0	456
1	1	0	0	0	1	1	3	457
1	0	0	1	0	1	0	2	459
0	1	0	0	0	0	0	1	460
0	0	0	0	0	0	0	0	461
0	1	1	0	1	0	0	1	462
0	1	1	1	1	1	1	1	463
1	1	1	1	0	1	1	3	464
0	0	1	0	0	1	1	0	465
0	0	0	0	1	1	0	0	466
1	1	0	1	1	0	0	3	467
0	1	0	0	0	0	0	1	468
1	1	1	0	0	0	0	3	469
0	0	1	1	1	0	1	0	470
1	1	0	1	0	1	1	3	471
1	1	1	1	1	1	1	3	472
0	1	0	0	1	0	0	1	473
0	0	0	1	1	1	0	0	474
1	0	1	0	1	0	1	2	476
0	1	0	0	0	1	0	1	477
0	1	0	1	1	1	1	1	478
1	1	1	0	0	1	1	3	479
1	1	1	0	0	1	1	3	480
0	0	1	0	1	0	1	0	481
1	0	1	1	1	0	1	2	482
1	0	0	0	1	0	1	2	483
0	0	1	1	0	0	1	0	484
1	1	0	1	1	1	1	3	485
0	0	1	1	1	1	1	0	486
1	0	1	1	1	0	1	2	487
1	1	0	1	1	1	1	3	488
0	0	1	1	1	1	1	0	490
1	0	0	0	1	1	1	2	491
1	0	1	0	1	1	1	2	492
1	0	0	1	1	0	1	2	493
0	0	1	0	1	0	1	0	494
1	0	0	0	1	0	1	2	495
0	1	1	1	1	0	1	1	496
0	1	1	1	1	1	1	1	497
1	1	0	1	1	1	1	3	498
1	0	1	1	1	0	1	2	499
0	0	1	0	1	0	1	0	500
