A_0	A_1	A_2	A_3	R_0	R_1	R_2	R_3	R_4	R_5	R_6	R_7	R_8	R_9	R_10	R_11	R_12	R_13	R_14	R_15	Class	Group	InstanceID
1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	13	54
1	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	14	55
0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	3	56
1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	9	57
0	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	58
1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	9	60
1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	15	61
0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	62
1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	10	63
1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	1	9	64
0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	4	65
0	0	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	2	66
0	1	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	7	67
0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	7	68
0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	4	69
0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	3	70
1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	14	73
0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	74
0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	3	75
1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	8	76
0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	77
0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	6	78
1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	12	79
1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	11	80
1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	11	81
1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	8	82
1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	8	83
0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	4	84
1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	12	85
0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	2	86
0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	1	1	1	0	0	1	1	87
0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	3	88
1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	15	89
0	0	0	1	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	90
0	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1	2	91
0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	1	4	92
1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	8	93
1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	15	95
0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	0	0	1	6	96
0	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	6	98
0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	5	99
0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	2	101
0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	5	102
0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	7	103
0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	6	105
0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	3	106
1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	13	107
1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	15	108
0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	2	109
1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	14	110
1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	11	111
0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	112
0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	2	113
0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	114
1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	8	115
0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	6	116
1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	12	117
0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	4	118
1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	10	119
1	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	12	120
0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	5	121
1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	10	122
0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	7	123
1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	8	124
1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	13	125
0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	3	126
1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	14	128
1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	14	129
0	0	0	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	130
1	0	1	0	1	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	10	131
1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	11	132
1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	14	133
1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	13	134
1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	9	135
0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	6	136
0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	1	7	137
0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	138
0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1	5	139
1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	11	140
1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	9	141
0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	4	142
0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	2	143
1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	8	144
1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	12	146
1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	13	147
1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	10	148
0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	6	149
0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	2	150
0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	151
1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	13	153
0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	7	155
1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	0	15	156
0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	2	157
0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	158
0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	2	159
1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	1	0	14	161
1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	15	162
0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	0	6	163
1	1	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0	15	164
0	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	6	165
0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	166
1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	11	167
1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	1	0	13	168
1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	9	169
1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	9	170
1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	1	15	171
1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	11	172
1	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	9	174
1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	15	175
1	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	13	176
1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	13	177
1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	10	179
0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	5	180
0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	2	181
0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	7	182
1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	10	183
0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	184
0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	185
0	1	1	1	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	7	186
1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	15	187
0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	188
0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	4	189
1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	14	190
0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	2	191
0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	6	192
0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	6	193
0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	2	194
1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	12	195
0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	5	196
1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	8	197
0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	198
1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	10	201
0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	2	202
0	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	6	203
0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	3	204
1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	9	206
0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	5	207
1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	13	208
0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	6	209
1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	9	210
0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	4	211
0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	1	212
0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	4	213
1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	11	214
0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	3	215
0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	4	216
1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	15	217
0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	4	218
0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	3	219
1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	11	220
0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	2	221
1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	9	222
1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1	9	224
0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	225
0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	3	226
0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	227
1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	12	228
0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	229
1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	8	230
0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	231
0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	233
1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	9	234
0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	5	235
0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	4	236
0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	5	237
0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	5	238
0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	5	239
1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	14	241
1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	10	242
1	1	0	0	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	12	243
0	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	7	244
1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	8	245
0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	246
1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	14	247
1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	15	248
1	0	1	1	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	11	249
0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	250
0	0	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	3	251
0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	2	252
1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	0	13	254
0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	5	255
0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	256
1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	14	257
1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	15	260
1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	1	12	261
1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	15	262
1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	13	263
1	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	9	264
1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	11	265
0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	6	266
0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	4	268
1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	9	270
0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	271
0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	1	1	2	272
0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	3	274
1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	9	276
1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	9	277
1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	0	14	278
0	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	1	1	2	280
1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	13	281
1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1	0	11	282
1	1	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	12	284
1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	14	285
0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	4	286
0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	6	287
1	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	8	288
1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	8	289
0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	6	290
1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	14	291
1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	12	292
0	1	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1	4	293
1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	0	12	294
1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	1	9	295
0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	2	296
0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	7	297
1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	10	298
1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	9	299
1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	15	300
0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	5	301
0	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	3	302
0	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	5	303
1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	12	304
1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	10	305
1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	10	306
0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	307
0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	1	1	308
1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	0	14	310
1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	14	311
1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	15	312
1	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	12	314
0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	7	315
0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	316
0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	6	317
1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	15	318
1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	8	319
1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	11	320
1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	8	321
0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	1	0	5	323
1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	1	11	324
0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	7	325
0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	326
1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	0	11	327
0	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	3	328
1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	9	329
1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	10	330
1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	11	331
0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	7	332
0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	7	333
1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	10	335
1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	1	1	13	337
0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	7	338
0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	339
